epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2054.48,0.98906,0.61938,1.01715,0.77087,0.62304,0.72175,0.43769,1.05078,0.64253,1.06397,0.000636762,0.000636762,0.000636762
30,2125.26,0.97737,0.6139,1.01425,0.80389,0.61442,0.71598,0.43835,1.03638,0.63555,1.0561,0.000608468,0.000608468,0.000608468
31,2195.64,0.97239,0.60711,1.00816,0.81407,0.62959,0.73153,0.44163,1.04641,0.62525,1.05835,0.000580174,0.000580174,0.000580174
32,2266.58,0.95788,0.59858,1.00281,0.80543,0.62504,0.73228,0.45096,1.02225,0.61868,1.04655,0.00055188,0.00055188,0.00055188
33,2336.91,0.95274,0.59099,0.99801,0.78042,0.66194,0.74223,0.45165,1.02293,0.61433,1.05015,0.000523586,0.000523586,0.000523586
34,2407.61,0.94916,0.59224,0.99812,0.80353,0.65712,0.74758,0.45738,1.04849,0.61539,1.05788,0.000495291,0.000495291,0.000495291
35,2478,0.9372,0.58005,0.99385,0.77324,0.68348,0.75405,0.46744,1.01791,0.60264,1.04353,0.000466997,0.000466997,0.000466997
36,2548.89,0.92596,0.57116,0.99161,0.81301,0.66836,0.76309,0.47903,1.01368,0.60144,1.0418,0.000438703,0.000438703,0.000438703
37,2619.69,0.91644,0.56556,0.98499,0.78983,0.67344,0.75506,0.46135,1.03722,0.60541,1.05166,0.000410409,0.000410409,0.000410409
38,2690.97,0.91185,0.56073,0.98554,0.75544,0.68439,0.74806,0.45414,1.04146,0.61063,1.04918,0.000382115,0.000382115,0.000382115
39,2761.94,0.90421,0.555,0.98088,0.86989,0.66098,0.77406,0.47305,1.02903,0.59438,1.0438,0.00035382,0.00035382,0.00035382
40,2832.34,0.89265,0.54888,0.97832,0.84909,0.65846,0.76979,0.47293,1.02541,0.59876,1.04143,0.000325526,0.000325526,0.000325526
41,2901.44,0.88295,0.54363,0.97288,0.82323,0.68043,0.76921,0.46716,1.05261,0.59773,1.05135,0.000297232,0.000297232,0.000297232
